good.names,SpeciesFungorum ID,"Basionyms, synonyms & additional comments",,,
Glomus kerguelense,,,Dalpé & Strullu (2002),,
Glomus lacteum,,Probably not a Glomus species.,S.L. Rose & Trappe (1980) [as 'lacteus'],,
Glomus magnicaule,,,I.R. Hall (1977) [as 'magnicaulis'],,
Glomus melanosporum,,,Gerd. & Trappe (1974) [as 'melanosporus'],,
Glomus microaggregatum,,"Synonym: Rhizoglomus microaggregatum Sieverd., G.A. Silva & Oehl (2014)","Koske, Gemma & P.D. Olexia (1986)",,
Glomus microcarpum,,"Synonyms: Endogone microcarpus Tul. & C. Tul. (1851), E. neglecta (lectotypification by S.M. Berch & J.A. Fortin 1984)",Tul. & C. Tul. (1845) [as 'microcarpus'],,
Glomus monosporum,,"This species was established in pot culture, but the culture was lost long before DNA sequencing methods were available. There have been several cultured organisms that have been given this name, but none seems properly to fit the species description of brown spores that have ornamentation of spines on the laminated wall component. ",Gerd. & Trappe (1974),,
Glomus mortonii,,"Although this fungus has produced spores in soil traps in Finland, it has not yet been possible either to establish it in pure culture or to extract DNA. Consequently, its phylogenetic position is yet unclear",Bentiv. & Hetrick (1991),,
Glomus multicaule,,,Gerd. & B.K. Bakshi (1976) [as 'multicaulis'],,
Glomus multiforum,,,Tadych & B?aszk. (1997),,
Glomus multisubstensum,,"This name has at some time been synonymised with Claroideoglomus claroideum (as Glomus claroideum), but this cannot yet be verified from molecular evidence, and thus has now been moved into uncertain positions","Mukerji, Bhattacharjee & J.P. Tewari (1983)",,
Glomus nanolumen,,,Koske & Gemma (1990),,
Glomus pallidum,,,I.R. Hall (1977) [as 'pallidus'],,
Glomus pansihalos,,,S.M. Berch & Koske (1986),,
Glomus pellucidum,,,McGee & Pattinson (2002),,
Glomus perpusillum,,,B?aszk. & Kovács (2009),,
Glomus pustulatum,,,"Koske, Friese, C. Walker & Dalpé (1986)",,
Glomus radiatum,,Basionym: Endogone radiata Thaxt. (1922),Trappe & Gerd. (1974),,
Glomus reticulatum,,"Such a vague and inadequately illustrated species description that it is impossible to apply the name with any confidence to any organism. The type material seems not to exist, and it is thus a species name that cannot be usefully applied.",Bhattacharjee & Mukerji (1980) [as 'reticulatus'],,
Glomus segmentatum,,"This is a truly sporocarpic fungus. It is known only from field collections, but no DNA sequence exists that can be used to establish its true phylogeny.","Trappe, Spooner & Ivory (1979) [as 'segmentatus']",,
Glomus spinosum,,"The species description is more or less uninterpretable, and no type material seems to exist for any of the species described by H.T. Hu.",H.T. Hu (2002),,
Glomus spinuliferum,,Compare with Glomus pansihalos,Sieverd. & Oehl (2003),,
Glomus sterilum,,Published without a Latin description or diagnosis (a requirement of the Botanical Code for formal descriptions after 1 Jan 1935); thus an invalid name. nom. inval. (invalid name),V.S. Mehrotra & Baijal (1992) [as 'sterile'],none (invalidly published),
Glomus tenebrosum,,Basionym: Endogone tenebrosa Thaxt. (1922),S.M. Berch (1983),,
Glomus tenerum,,A controversial species.,P.A. Tandy (1975) [as 'tener'],,none (invalidly published)
Glomus tenue,,"Basionym: Rhizophagus tenuis Greenall (1963) Was published under the name Rhizophagus tenuisand later transferred to the genus Glomus. Fungi fitting the description have from time to time been established in pot culture, but it seems none has ever been purified and there is to date no molecular data with which to place it in its correct clade. It has almost no similarities with any other fungus in the phylum.",I.R. Hall (1977) [as 'tenuis'],,
Glomus trufemii,561567,,"B.T. Goto, G.A. Silva & Oehl (2012)",,
Glomus versiforme,,"Basionym: Endogone versiformis P. Karst (1884), non sensu Berch & Fortin, Can. J. Bot. 61: 2614 (1983). This species was confounded by the erroneous synonymisation of Glomus epigaeum with G. versiforme. These species are not synonymous and G. epigaeum was placed in Diversispora, but the placing of G. versiforme is yet unknown.",S.M. Berch (1983),,
Glomus viscosum,,"Although a rDNA sequence derived from a spore of this fungus clustered next to G. claroideum, it seems to be derived from a contaminant. The culture from which the molecular evidence came turned out later to also contain spores of G. claroideum like fungus and obviously was contaminated. The recent placement in a new genus thus was very unfortunate as it should be waited for evidence before erecting of a new genus based on one sequence.",T.H. Nicolson (1995),,
Glomus warcupii,,,McGee (1986),,
Glomus zaozhuangianus,,,F.Y. Wang & R.J. Liu (2002) [as 'zaozhuangianus'],,
Kamienskia,,,"B?aszk., Chwat & Kovács (2014)",Glomeraceae,
Kamienskia bistrata,,"Basionym: Glomus bistratum B?aszk., D. Redecker, Koegel, Symanczik, Oehl & Kovács (2009)","B?aszk., Chwat & Kovács (2014)",Glomeraceae,
Kamienskia perpusilla,,Basionym: Glomus perpusillum B?aszk. & Kovács (2009),"B?aszk., Chwat & Kovács (2014)",Glomeraceae,Glomerales
Otospora,, back to top,"J. Palenzuela, N. Ferrol & Oehl (2008)",Diversisporaceae,Glomerales
Otospora bareae,533135,"Unclear phylogenetic affiliation though placed among Diversispora based on two non-overlapping short SSU sequences. The type is hardly interpretable due to parasitism and other degradation, and as yet there is no independent evidence is available to support its phylogenetic position; needs reinvestigation.","J. Palenzuela, N. Ferrol & Oehl (2008) [as bareai]",Diversisporaceae,Glomerales
Pacispora,, back to top,Oehl & Sieverd. (2004),Pacisporaceae,Diversisporales
Pacispora chimonobambusae,,"Basionym: Glomus chimonobambusae C.G. Wu & Y.S. Liu (1995) Synonyms: Gerdemannia chimonobambusae C. Walker, Blaszk., Schuessler & Schwarzott (2004)","C. Walker, Vestberg & Schuessler (2007)",Pacisporaceae,Diversisporales
Pacispora boliviana,,,Oehl & Sieverd. (2004),Pacisporaceae,Diversisporales
Pacispora coralloidae,,,Oehl & Sieverd. (2004),Pacisporaceae,Diversisporales
Pacispora franciscana,,,Oehl & Sieverd. (2004),Pacisporaceae,Diversisporales
Pacispora patagonica,,Basionym: Glomus patagonicum Novas & Fracchia (2005) (link to publisher!),"C. Walker, Vestberg & Schuessler (2007)",Pacisporaceae,Diversisporales
Pacispora robigina,,,Oehl & Sieverd. (2004),Pacisporaceae,Diversisporales
Pacispora scintillans,,"Basionym: Glomus scintillans S.L. Rose & Trappe(1980) Synonyms: P. dominikii Oehl & Sieverd. (2004),Gerdemannia scintillans Walker, B?aszk., Schuessler & Schwarzott (2004), Glomus dominikii B?aszk. (1988)","C. Walker, Vestberg & Schuessler (2007)",Pacisporaceae,Diversisporales
Palaeospora,,,,Archaeosporaceae,Diversisporales
Palaeospora spainiae,,,"Oehl, Palenz., Sánchez-Castro & G.A. Silva [as 'spainii'] (2015)",Archaeosporaceae,Diversisporales
Paraglomus,, back to top,J.B. Morton & D. Redecker (2001),Paraglomeraceae,Archaeosporales
Paraglomus brasilianum,,Basionym: Glomus brasilianum Spain & J. Miranda (1996),J.B. Morton & D. Redecker (2001),Paraglomeraceae,Archaeosporales
Paraglomus majewskii,561205,,B?aszk. & Kovács (2012),Paraglomeraceae,Paraglomerales
Paraglomus occultum,,Basionym: Glomus occultum C. Walker (1982),J.B. Morton & D. Redecker (2001),Paraglomeraceae,Paraglomerales
Paraglomus laccatum,,Basionym: Glomus laccatum B?aszk. (1988)  (link to commercial publisher not giving copyright clearance),"C. Renker, B?aszk. & F. Buscot (2007)",Paraglomeraceae,Paraglomerales
Racocetra,, back to top,"Oehl, F.A. Souza & Sieverd. (2008)",Gigasporaceae,
Racocetra  castanea,,Basionym: Scutellospora castanea C. Walker (1993),"Oehl, F.A. Souza & Sieverd. (2008)",Gigasporaceae,Paraglomerales
Racocetra coralloidea,,"Basionym: Gigaspora coralloidea Trappe, Gerd. & I. Ho (1974) Synonyms: Scutellospora coralloidea C. Walker & F.E. Sanders (1986)","Oehl, F.A. Souza & Sieverd. (2008)",Gigasporaceae,Diversisporales
Racocetra fulgida,,Basionym: Scutellospora fulgida Koske & C. Walker (1986),"Oehl, F.A. Souza & Sieverd. (2008)",Gigasporaceae,Diversisporales
Racocetra gregaria,,Basionym: Gigaspora gregaria N.C. Schenck & T.H. Nicolson (1979) Synonyms: Scutellospora gregaria C. Walker & F.E. Sanders (1986),"Oehl, F.A. Souza & Sieverd. (2008)",Gigasporaceae,Diversisporales
Racocetra persica,,Basionym: Gigaspora persica Koske & C. Walker (1985) Synonyms: Scutellospora persica C. Walker & F.E. Sanders (1986),"Oehl, F.A. Souza & Sieverd. (2008)",Gigasporaceae,Diversisporales
Racocetra tropicana,,,"Oehl, B.T.Goto & G.A.Silva (2011)",Gigasporaceae,Diversisporales
Racocetra verrucosa,,Basionym: Gigaspora verrucosa Koske & C. Walker (1985) Synonyms: Scutellospora verrucosa C. Walker & F.E. Sanders (1986),"Oehl, F.A. Souza & Sieverd. (2008)",Gigasporaceae,Diversisporales
Racocetra weresubiae,,"Basionym: Scutellospora weresubiae Koske & C. Walker (1986) Not established in culture, but specimens collected from sand dunes in Argentina were clearly of this species. Msiska & Morton (2010) removed it from Racocetra, but Schüßler and Walker (2010) confirmed it to be in a monophyletic clade with Racocetra, therefore it was places back in that genus.","Oehl, F.A. Souza & Sieverd. (2008)",Gigasporaceae,Diversisporales
Racocetra,,species of uncertain position ,,Gigasporaceae,Diversisporales
Racocetra  alborosea,,Basionym: Gigaspora alborosea Ferrer & R.A. Herrera (1981) Synonyms: Scutellospora alborosea C. Walker & F.E. Sanders (1986),"Oehl, F.A. Souza & Sieverd. (2008)",Gigasporaceae,Diversisporales
Racocetra beninensis,,,"Oehl, Tchabi & Lawouin (2009)",Gigasporaceae,
Racocetra intraornata,,,B.T. Goto & Oehl (2009),Gigasporaceae,Diversisporales
Racocetra minuta,,Basionym: Gigaspora minuta Ferrer & R.A. Herrera (1981) Synonyms: Scutellospora minuta C. Walker & F.E. Sanders (1986),"Oehl, F.A. Souza & Sieverd. (2008)",Gigasporaceae,Diversisporales
Racocetra undulata,,,T.C. Lin & C.H. Yen (2011),Gigasporaceae,Diversisporales
Redeckera,, back to top,C. Walker & Schuessler (2010),Diversisporaceae,Diversisporales
Redeckera fulvum,,"Basionym: Paurocotylis fulvum Berk. & Broome (1875) Synonyms: Endogone fulva (Berk. & Broome) Pat. (1903), Glomus fulvum Trappe & Gerd. (1974) [as 'fulvus']",C. Walker & Schuessler (2010),Diversisporaceae,Diversisporales
Redeckera megalocarpum,,Basionym: Glomus megalocarpum D. Redecker (2007),C. Walker & Schuessler (2010),Diversisporaceae,Diversisporales
Redeckera pulvinatum,,Basionym: Endogone pulvinata Henn. (1897) Synonyms: Glomus pulvinatum Trappe & Gerd. (1974) [as 'pulvinatus'],C. Walker & Schuessler (2010),Diversisporaceae,Diversisporales
Rhizophagus,, back to top,,Glomeraceae,Diversisporales
Rhizophagus aggregatus,,"Synonyms: Glomus aggregatum N.C. Schenck & G.S. Sm. (1982) (emendation here) Rhizoglomus aggregatum (N.C. Schenck & G.S. Sm.) Sieverd., G.A. Silva & Oehl According to published ?-tubulin sequence data, G. aggregatum clusters with Claroideoglomus, but this seems unlikely, so it should be classified as of uncertain position, for now",C. Walker (2016),,Diversisporales
Rhizophagus arabicus,,,"B?aszk., Symanczik & Al-Yahya’ei (2014)",Glomeraceae,Glomerales(emendation)
Rhizophagus clarus,,Basionym: Glomus clarum T.H. Nicolson & N.C. Schenck (1979) [as 'clarus'],C. Walker & Schuessler (2010),Glomeraceae,
Rhizophagus diaphanus,,Basionym: Glomus diaphanum J.B. Morton & C. Walker (1984),C. Walker & Schuessler (2010),Glomeraceae,Glomerales
Rhizophagus custos,,Basionym: Glomus custos C. Cano & Y. Dalpé (2009),C. Walker & Schuessler (2010),Glomeraceae,Glomerales
Rhizophagus fasciculatus,,Basionym: Endogone fasciculata Thaxt. (1922) Synonyms: Glomus fasciculatum Gerd. & Trappe (1974) [as fasciculatus] (emendation Walker & Koske 1987),C. Walker & Schuessler (2010),Glomeraceae,Glomerales
Rhizophagus intraradices,,Basionym: Glomus intraradices N.C. Schenck & G.S. Sm. (1982),C. Walker & Schuessler (2010),Glomeraceae,Glomerales
Rhizophagus invermaium,,"Basionym: Glomus invermaium I.R. Hall (1977) [as 'invermaius'] Synonym: Rhizoglomus invermaium Sieverd., G.A. Silva & Oehl",C. Walker (2016),Glomeraceae,Glomerales
Rhizophagus irregularis,,"Basionym: Glomus irregulare B?aszk., Wubet, Renker & Buscot (2008)",C. Walker & Schuessler (2010) [as 'irregulare'],Glomeraceae,Glomerales
Rhizophagus manihotis,,"Basionym: Glomus manihotis R.H. Howeler, Sieverd. & N.C. Schenck (1984) Compare with Glomus clarum.",C. Walker & Schuessler (2010),Glomeraceae,Glomerales
Rhizoglomus melanum,,"formerly published as Rhizoglomus, but this genus is a synonym of Rhizophagus","Sudová R, Sýkorová Z, Rydlová J, ?tvrtlíková M, Oehl F (2015)",Glomeraceae,Glomerales
Rhizophagus natalensis,,,"B?aszk., Chwat & B.T. Goto",Glomeraceae,Glomerales
Rhizophagus populinus,,"Glomoid spores formed singly, in loose clusters, tight clusters (fascicles) in the substrate and in the roots or rhizoids of host plants. Forming arbuscular mycorrhizas. An old, but valid description, that can only be attributed to phylogenetic group 'GlomusGroup Ab', which contains the fungi earlier named as the ""Glomus intraradices-group"".",P.A. Dang. (1896),Glomeraceae,Glomerales
Rhizophagus proliferus,,Basionym: Glomus proliferum Dalpé & Declerck (2000) compare with Glomus arborense,C. Walker & Schuessler (2010),Glomeraceae,Glomerales
Rhizophagus vesiculiferus,,"Basionym: Endogone vesiculifera Thaxt. (1922)  Synonyms: Glomus vesiculiferum Gerd. & Trappe (1974) [as 'vesiculifer'] The species was erroneously placed in Funneliformisin Schüßler & Walker, 2010, before placed in Rhizophagus formally in Redecker et al. (2013).",C. Walker & Schuessler (2013),Glomeraceae,Glomerales
Sacculospora,,,"Oehl, Sieverd., G.A. Silva, B.T. Goto, Sánchez-Castro & Palenz. 2011",,Glomerales
Sacculospora felinovii,none yet,"no data available yet. The genus Sacculospora as described was up to now handled as a synonym of Entrophospora, thus data have to be awaited","B?aszk., Góralska & Chwat (2016)",Acaulosporaceae,Glomerales
Sclerocystis,," back to top   This genus was described in 1873, but was united with Glomus (Almeida & Schenck 1990). We now separate it once more based on the molecular data, for two species (Redecker et al. 2000), and the phylogenetic placement basal to Rhizophagus. More evidence will be required before anything further can be concluded.",Berk. & Broome (1873),Glomeraceae,
Sclerocystis coremioides,,Synonyms: Glomus coremioides D. Redecker & J.B. Morton (2000),Berk. & Broome (1873),Glomeraceae,Glomerales(emendation)
Sclerocystis sinuosa,,"Synonyms: Glomus sinuosum R.T. Almeida & N.C. Schenck (1990),  S. pakistanica",Gerd. & B.K. Bakshi (1976),Glomeraceae,
Sclerocystis,,species of uncertain position,,,Glomerales
Sclerocystis alba,,"Synonyms: Endogone alba Gerd. & Trappe (1974) Was transferred to Endogone by Gerdemann & Trappe (1974), but from their description, it may be worthwhile to reconsider its position should it ever be possible to obtain molecular evidence.",Petch (1925),,
Sclerocystis dussi,,Basionym: Ackermannia dussii Pat. (1902) Synonyms: Sphaerocreas dussii Höhn. (1909),Höhn. (1910),,
Sclerocystis clavispora,,Synonyms: Glomus clavisporum R.T. Almeida & N.C. Schenck (1990),Trappe (1977),,
Sclerocystis coccogenum,,"Basionym: Ackermannia coccogena Pat. (1902) Synonyms: Sphaerocreas coccogenum (Pat.) Höhn.(1909), Sclerocystis microcarpus S.H. Iqbal & Perveen (1980)",Höhn. (1910),,
Sclerocystis liquidambaris,,"Synonyms: Glomus liquidambaris R.T. Almeida & N.C. Schenck (1990), Glomus liquidambaris R.T. Almeida & N.C. Schenck ex Y.J. Yao (1995),Sclerocystis cunninghamia H.T. Hu (1988)",C.G. Wu & Z.C. Chen (1987),,
Sclerocystis rubiformis,,"Synonyms: Glomus rubiforme R.T. Almeida & N.C. Schenck (1990), Sclerocystis indica Bhattacharjee & Mukerji (1980), Sclerocystis pachycaulis C.G. Wu & Z.C. Chen (1986)",Gerd. & Trappe (1974),,
Sclerocystis pubescens,,"Basionym: Sphaerocreas pubescens Sacc. & Ellis (1882) Synonyms: Endogone pubescens Zycha (1935),Stigmatella pubescens Sacc. (1886), Glomus pubescens Trappe & Gerd. (1974)",Höhn (1910),,
Sclerocystis taiwanensis,,"Synonyms: Glomus taiwanense R.T. Almeida & N.C. Schenck (1990), Glomus taiwanense R.T. Almeida & N.C. Schenck ex Y.J. Yao (1995)",C.G. Wu & Z.C. Chen (1987),,
Scutellospora,, back to top,C. Walker & F.E. Sanders (1986),Gigasporaceae,
Scutellospora alterata,,,"Oehl, J.S. Pontes, Palenz., I.C. Sánchez & G.A. Silva (2013)",Gigasporaceae,
Scutellospora aurigloba,,Basionym: Gigaspora aurigloba I.R. Hall,C. Walker & F.E. Sanders (1986),Gigasporaceae,Diversisporales
Scutellospora calospora,,"Basionym: Endogone calospora T.H. Nicolson & Gerd. (1968) Synonyms: Gigaspora calospora As far as is known, although this is the type species of the genus, all the early cultures, including those from which the type was sampled, are lost. The re-description of the species (Koske & Walker 1986) was made from a culture established from within 75 km of the type location, and its identity was confirmed by the late Prof. T. Nicolson. It was registered as BEG32 and formally designated as an epitype.",C. Walker & F.E. Sanders (1986),Gigasporaceae,Diversisporales
Scutellospora nodosa,,"Defined from a field collection (Blaszkowski 1991), as far as is known without culturing or an ex-type culture available. Phylogenetic position anchored by a culture from the north of England, registered as BEG4.",B?aszk. (1991),Gigasporaceae,Diversisporales
Scutellospora projecturata,,"Synonym: Orbispora projecturata Oehl, G. A. Silva & D. K. Silva (2011)",Kramad. & C. Walker (2000),Gigasporaceae,Diversisporales
Scutellospora dipurpurescens,,Compare with Scutellospora calospora,J.B. Morton & Koske (1988),Gigasporaceae,Diversisporales
Scutellospora,,species of uncertain position,,,Diversisporales
Cetraspora helvetica,,See above about the rejection of the genera by Morton & Msiska (2010),"Oehl, J. Jansa, F.A. Souza & G.A. Silva (2011)",,
Fuscutata aurea,563598,,"Oehl, C.M. Mello & G.A. Silva (2012)",,
Fuscutata heterogama,,"According to the concept of Oehl et al. (Mycotaxon 106: 344, 2008) this organism is not conspecific with Scutellospora heterogama (Dentiscutata heterogamain their concept) and was used as the type species for the genus Fuscutata, but this genus was later rejected by Morton & Msiska (2010). To the concept ot Oehl et al., most existing cultures formerly identified as S. heterogama should be represented by the proposed name Fuscutata heterogama. This was done without molecular evidence, although the 'ex-type culture' of Fuscutata heterogama was and is available. It is possible that Fuscutata heterogama in future will be a synonym, but because it is described as the type species of a genus we list it here awaiting further evidence.","Oehl, F.A. Souza, L.C. Maia & Sieverd. (2008) ",,Diversisporales
Dentiscutata colliculosa,,"Molecular data indicate Dentiscutata to be a monophyletic, separated clade, but the phylogenetic position of this species places it amongst the genera rejected by Msiska & Morton (2010), so it is listed here pending clarification.",B.T. Goto & Oehl (2010),,Diversisporales
Dentiscutata nigerita,,"Molecular data indicate Dentiscutata to be a monophyletic, separated clade, but the phylogenetic position of this species places it amongst the genera rejected by Msiska & Morton (2010), so it is listed here pending clarification.",S. W. Kade (2010),,Diversisporales
Intraornatospora intraornata,,Basionym: Racocetra intraornata B.T. Goto & Oehl (2009),"B.T. Goto, Oehl & G.A. Silva (2012)",,Diversisporales
Paradentiscutata bahiana,,,"Oehl, Magna, B.T. Goto & G.A. Silva (2012)",,Diversisporales
Paradentiscutata maritima,,,"B.T. Goto, D.K. Silva, Oehl & G.A. Silva (2012)",,Diversisporales
Scutellospora arenicola,,,Koske & Halvorson (1990),,Diversisporales
Scutellospora armeniaca,,"Synonyms: Cetraspora armeniaca Oehl, F.A. Souza & Sieverd. (2008)",B?aszk. (1993),,Diversisporales
Scutellospora biornata,,"Synonyms: Dentiscutata biornata Sieverd., F.A. Souza & Oehl (2008)","Spain, Sieverd. & S. Toro (1989)",,Diversisporales
Scutellospora cerradensis,,"Synonyms: Dentiscutata cerradensis Sieverd., F.A. Souza & Oehl (2008), Scutellospora trirubiginopa X.L. Pan & G.Yun Zhang (1997), Fuscutata trirubiginopaOehl, F.A. Souza & Sieverd. (2008) The species description is such that it clearly is a synonym of S. cerradensis. Repeated attempts to obtain the type of Fuscutata trirubiginopa for examination have failed.",Spain & J. Miranda (1996),,Diversisporales
Scutellospora crenulata,,,"R.A. Herrera, Cuenca & C. Walker (2001)",,Diversisporales
Scutellospora dipapillosa,,Basionym: Gigaspora dipapillosa C. Walker & Koske (1985),C. Walker & F.E. Sanders (1986),,Diversisporales
Scutellospora gilmorei,,"Basionym: Gigaspora gilmorei Trappe & Gerd. (1974) Synonyms: Cetraspora gilmorei Oehl, F.A. Souza & Sieverd. (2008)",C. Walker & F.E. Sanders (1986),,Diversisporales
Scutellospora hawaiiensis,,"Synonyms: Dentiscutata hawaiiensis Sieverd., F.A. Souza & Oehl (2008)",Koske & Gemma (1995),,Diversisporales
Scutellospora nigra,,"Basionym: Gigaspora nigra J.F. Redhead (1979) Synonyms: Dentiscutata nigra Sieverd., F.A. Souza & Oehl (2008)",C. Walker & F.E. Sanders (1986),,Diversisporales
Scutellospora pellucida,,"Basionym: Gigaspora pellucida T.H. Nicolson & N. C. Schenck (1979) Synonyms: Cetraspora pellucida Oehl, F.A. Souza & Sieverd. (2008)",C. Walker & F.E. Sanders (1986),,Diversisporales
Scutellospora pernambucana,,"Synonym: Orbispora pernambucana Oehl, G. A. Silva & D. K. Silva (2011)","Oehl, D.K Silva, N. Freitas, L.C. Maia (2008)",,Diversisporales
Scutellospora reticulata,,"Basionym: Gigaspora reticulata Koske, D.D. Mill. & C. Walker (1983) Synonyms: Dentiscutata reticulata Sieverd., F.A. Souza & Oehl (2008)",C. Walker & F.E. Sanders (1986),,Diversisporales
Scutellospora rubra,,"Synonyms: Fuscutata rubra Oehl, F.A. Souza & Sieverd. (2008) ",Stürmer & J.B. Morton (1999),,Diversisporales
Scutellospora savannicola,,"Basionym: Gigaspora savannicola R.A. Herrera & Ferrer (1981) Synonyms: Fuscutata savannicola Oehl, F.A. Souza & Sieverd. (2008)",C. Walker & F.E. Sanders (1986),,Diversisporales
Scutellospora scutata,,"Synonyms: Dentiscutata scutata Sieverd., F.A. Souza & Oehl (2008)",C. Walker & Dieder. (1989),,Diversisporales
Scutellospora spinosissima,,"Synonyms: Cetraspora spinosissima Oehl, F.A. Souza & Sieverd. (2008)",C. Walker & Cuenca (1998),,Diversisporales
Scutellospora striata,,"Synonyms: Cetraspora striata Oehl, F.A. Souza & Sieverd. (2008)",Cuenca & R.A. Herrera (2008),,Diversisporales
Scutellospora tricalypta,,Basionym: Gigaspora tricalypta R.A. Herrera & Ferrer (1981) [1980],C. Walker & F.E. Sanders (1986),,Diversisporales
Septoglomus,,,,Glomeraceae,Diversisporales
Septoglomus altomontanum,,,"Palenz., Oehl, Azcón-Aguilar & G.A. Silva (2013)",Glomeraceae,Diversisporales
Septoglomus constrictum,,Basionym: Glomus constrictum Trappe (1977) [as 'constrictus'] Synonym: Funneliformis constrictus C. Walker & A. Schüßler,"Sieverd., G. A. Silva & Oehl (2011)",Glomeraceae,Glomerales
Septoglomus deserticola,106847,"Basionym: Glomus deserticola Trappe, Bloss & J.A. Menge (1984)","G.A. Silva, Oehl & Sieverd. (2011)",Glomeraceae,Glomerales
Septoglomus fuscum,,,"B?aszk., Chwat, Kovács & Ryszka (2013)",Glomeraceae,Glomerales
Septoglomus furcatum,,,"B?aszk., Chwat, Kovács & Ryszka (2013)",Glomeraceae,Glomerales
Septoglomus jasnowskae,,,"B?aszk., Chwat & Ryszka (2015)",Glomeraceae,Glomerales
Septoglomus nakheelum,,,"Al-Yahya’ei, Symanczik & B?aszk. (2014)",Glomeraceae,Glomerales
Septoglomus titan,,,B.T. Goto & G.A. Silva (2013),Glomeraceae,Glomerales
Septoglomus turnauae,,,"B?aszk., Chwat & Ryszka (2015)",Glomeraceae,Glomerales
Septoglomus viscosum,,"Basionym: Glomus viscosum T.H. Nicolson (1995) Synonym: Viscospora viscosa Sieverd., Oehl & G.A. Silva (2011)","C. Walker, D. Redecker, D. Stille & A. Schüßler (2013)",Glomeraceae,Glomerales
Glomeromycota,,species of uncertain position   ,,,Glomerales
Paurocotylis fulva var. zealandica,,"Synonyms: G. macrocarpum Gerdemann & Trappe (1974) The following species were synonymised from morphological evidence, but without supporting molecular data, they are left here as uncertain position",Cooke (1879),,Glomerales
Endogone pampaloniana,,"Synonyms: G. macrocarpum Gerdemann & Trappe (1974) The following species were synonymised from morphological evidence, but without supporting molecular data, they are left here as uncertain position",Bacc. (1903)     ,,
Endogone nuda,,"Synonyms: G. macrocarpum Gerdemann & Trappe (1974) The following species were synonymised from morphological evidence, but without supporting molecular data, they are left here as uncertain position",Petch (1925),,
Endogone lignicola,,"Synonyms: Glomus fulvum Gerdemann & Trappe (1974) The following species were synonymised from morphological evidence, but without supporting molecular data, they are left here as uncertain position",Pat. (1902),,
Endogone moelleri,,"Synonyms: Glomus fulvum Gerdemann & Trappe (1974) The following species were synonymised from morphological evidence, but without supporting molecular data, they are left here as uncertain position",Henn. (1897),,
Endogone arenacea,,"Synonyms: Glomus fasciculatum Gerdemann & Trappe (1974) The following species were synonymised from morphological evidence, but without supporting molecular data, they are left here as uncertain position",Thaxt. (1922),,
